Concept,Summary,Azure Comparable
AI service opt-out policies (Orgs),Org control over AI data use (new),No clean equivalent
Amazon API Gateway logging,Logs API request activity,API Management diagnostics
Amazon Athena,SQL queries over logs in S3,Azure Data Explorer / Log Analytics
Amazon Aurora,High-performance managed relational DB,Azure SQL Database
Amazon Bedrock (security),Guardrails + model access controls (new),Azure OpenAI security
Amazon CloudFront,Edge CDN and TLS termination,Azure Front Door / CDN
Amazon CloudWatch,"Metrics, logs, and alarms",Azure Monitor / Log Analytics
Amazon CodeGuru Security,Automated secure code review,Defender for DevOps / GitHub Advanced Security
Amazon Cognito,App/customer identity provider,Entra External ID (formerly Azure AD B2C)
Amazon Detective,Investigates and analyzes findings,Sentinel investigation / hunting
Amazon DynamoDB,Managed NoSQL key-value database,Azure Cosmos DB
Amazon EBS,Block storage volumes for EC2,Azure Managed Disks
Amazon ECR,Container registry with image scanning,Azure Container Registry
Amazon ECS,Managed container orchestration,Azure Container Apps / ACI
Amazon EFS,Managed elastic file storage,Azure Files
Amazon EKS,Managed Kubernetes clusters,Azure Kubernetes Service (AKS)
Amazon EMR,"Big-data platform, inter-node encryption",Azure HDInsight
Amazon EventBridge,Event routing for security automation,Azure Event Grid
Amazon GuardDuty,Threat detection from AWS logs,Defender for Cloud (threat)
Amazon Inspector,Scans for vulnerabilities,Defender for Cloud vuln assessment
Amazon Macie,Discovers sensitive data in S3,Microsoft Purview
Amazon Managed Grafana,Security dashboards and visualization (new),Azure Managed Grafana
Amazon OpenSearch Service,Search and analyze log data,Azure Data Explorer / Elastic
Amazon Q Developer,AI assistant flags code vulns in pipeline,GitHub Copilot security (rough)
Amazon RDS,Managed relational database service,Azure SQL Database
Amazon Redshift,Managed data warehouse,Azure Synapse Analytics
Amazon Route 53,DNS and DNSSEC,Azure DNS
Amazon SageMaker AI,Managed ML platform security,Azure Machine Learning
Amazon Security Lake,"Central security data lake, OCSF (new)",Sentinel Data Lake
